,title,author,major,tutor,time,url
2964,负载型贵金属催化剂的界面结构调控与其CO氧化性能研究,陈佳煜(博士),物理化学,谢兆雄,2020-06-01 11:00,https://gs.xmu.edu.cn/info/1220/8198.htm
2965,从叙事至捉勒——《枫鹰雉鸡图》的形式寓意探究,殷征宇(硕士),美术学,童焱,2020-06-02 02:30,https://gs.xmu.edu.cn/info/1220/8197.htm
2966,手法与风格——从《营造法式》中的石作制度谈闽南传统石雕艺术风格的面貌演变,李佳(硕士),美术学,童焱,2020-06-02 02:30,https://gs.xmu.edu.cn/info/1220/8196.htm
2967,基于改进竖直线圈的涡流无损检测系统及其特性研究,邹嘉豪(硕士),仪器仪表工程(专业学位),黄澜涛,2020-06-02 08:00,https://gs.xmu.edu.cn/info/1220/8195.htm
2968,基于非线性超声导波层析成像技术的表面微裂纹检测方法研究,许亚茹(硕士),仪器仪表工程(专业学位),李卫彬,2020-06-02 08:00,https://gs.xmu.edu.cn/info/1220/8194.htm
2969,基于主成分分析法的多色高光谱CT系统及应用研究,王仁彬(硕士),仪器仪表工程(专业学位),方正,2020-06-02 08:00,https://gs.xmu.edu.cn/info/1220/8193.htm
2970,社区污水中毒品在线监测系统设计研究,石建(硕士),仪器仪表工程(专业学位),薛文东,2020-06-02 08:00,https://gs.xmu.edu.cn/info/1220/8192.htm
2971,基于机器学习的免疫层析试条定量检测研究,刘松明(硕士),仪器仪表工程(专业学位),曾念寅,2020-06-02 08:00,https://gs.xmu.edu.cn/info/1220/8191.htm
2972,基于宏观和微观损伤检测的超声导波仿真研究,江畅(硕士),仪器仪表工程(专业学位),李卫彬,2020-06-02 08:00,https://gs.xmu.edu.cn/info/1220/8190.htm
2973,黄嘴白鹭基因组研究及嗅觉基因家族分析,罗斯特(博士),动物学,陈小麟,2020-06-04 15:30,https://gs.xmu.edu.cn/info/1220/8212.htm
2974,新型超宽近红外荧光粉的合成与性能研究,曾华涛(硕士),材料工程(专业学位),解荣军,2020-06-04 15:30,https://gs.xmu.edu.cn/info/1220/8211.htm
